UWIDE_CATALOG"UNID"	"SUNY_ID"	"SUNY_ID_IMMUTABLE"	"IPEDS"	"DISC"	"NUM"	"DESCRIP"	"LONG_TITLE"	"SHORT_TITLE"	"MIN_CRED"	"MAX_CRED"	"SUNY_GE"	"CAT_YEAR"
"47372"	"60415"	"60415.2021"	"TC3"	"ACAD"	"150"	"Promotes students' personal adjustment and academic success in their first college semester. Topics include adjusting to college, learning about college resources, learning about career exploration resources, understanding college degree programs, le"	"College Success Seminar"	"College Success Sem"	"3"	"3"	"Not Applicable"	"2021"
"47373"	"60416"	"60416.2021"	"TC3"	"ACAD"	"175"	"Intended for returning students who want to develop new or additional strategies for academic success. Students will identify personal strengths and understand how to use those strengths for academic success. They will learn about available resources"	"Academic Success - Continuing Students"	"Acad Success-Cont St"	"1"	"1"	"Not Applicable"	"2021"
"47374"	"175803"	"175803.2021"	"TC3"	""	""	""	"Accounting Elective"	"Accounting Elective"	"0"	"0"	"Not Applicable"	"2021"
"47375"	"60417"	"60417.2021"	"TC3"	"ACCT"	"101"	"This course introduces basic accounting concepts and principles for the sole proprietorship with an emphasis on the accounting cycle and the preparation of financial statements along with their supporting schedules. Emphasis is also placed on the use"	"Principles of Accounting I"	"Principles Acct I"	"4"	"4"	"Not Applicable"	"2021"
"47376"	"60418"	"60418.2021"	"TC3"	"ACCT"	"102"	"This course is a continuation of ACCT 101, with emphasis on applications of accounting principles to partnerships and corporations. Topics will include accounting for the formation and operation of both types of business organizations, long-term liab"	"Principles of Accounting II"	"Principles Acct II"	"4"	"4"	"Not Applicable"	"2021"
"47377"	"60419"	"60419.2021"	"TC3"	"ACCT"	"120"	"This course provides a realistic approach to computerized accounting applications. It covers small business accounting using QuickBooks Online which is a cloud-based version of a general ledger software package. Topics include creating a chart of acc"	"Accounting on Microcomputers"	"Acct Microcomputers"	"3"	"3"	"Not Applicable"	"2021"
"47378"	"60420"	"60420.2021"	"TC3"	"ACCT"	"203"	"Intermediate Accounting I is a continuation of the introductory principles of ACCT 101 and ACCT 102. Intermediate topics include financial accounting standards, the conceptual framework, information systems, form and content of financial statements,"	"Intermediate Accounting I"	"Intermediate Acct I"	"4"	"4"	"Not Applicable"	"2021"
"47379"	"60421"	"60421.2021"	"TC3"	"ACCT"	"204"	"Intermediate Accounting II is a continuation of the introductory principles of ACCT 101/102 and ACCT 203 - Intermediate Accounting I. Topics include: Current and long-term liabilities, form and content of financial statements, dilutive securities and"	"Intermediate Accounting II"	"Intermediate Acct II"	"4"	"4"	"Not Applicable"	"2021"
"47380"	"60422"	"60422.2021"	"TC3"	"ACCT"	"205"	"Cost Accounting is a study of the principles of accounting for the cost of materials, labor, and overhead in job order and process cost systems. Included are an introduction to standard costs and analysis of variances, analysis of cost information, a"	"Cost Accounting"	"Cost Accounting"	"4"	"4"	"Not Applicable"	"2021"
"47381"	"60423"	"60423.2021"	"TC3"	"ACCT"	"207"	"This course is an analysis of basic income tax principles as they affect individuals and the application of the tax concepts of gross income, adjusted gross income, taxable income, exemptions, deductions, and credits as interpreted under the Internal"	"Income Taxation"	"Income Taxation"	"4"	"4"	"Not Applicable"	"2021"
"47382"	"181071"	"181071.2021"	"TC3"	"ACCT"	"208"	""	"Auditing"	"Auditing"	"4"	"4"	"Not Applicable"	"2021"
"47383"	"144103"	"144103.2021"	"TC3"	"ACCT"	"280"	"This course will enable the student to do in-depth research on some aspect of his/her interest. Faculty member approval is required prior to registration. Prerequisites: ENGL 101 and instructor permission. 1-3 Cr."	"Independent Study-Accounting"	"Indp Study-Accountng"	"3"	"3"	"Not Applicable"	"2021"
"47384"	"60425"	"60425.2021"	"TC3"	"AERO"	"112"	""	"Private Pilot - Ground"	"Private Pilot-Ground"	"3"	"3"	"Not Applicable"	"2021"
"47385"	"60426"	"60426.2021"	"TC3"	"AERO"	"113"	""	"Private Pilot - Flight to Solo"	"PrivatePlt-FlghtSolo"	"1"	"1"	"Not Applicable"	"2021"
"47386"	"60427"	"60427.2021"	"TC3"	"AERO"	"114"	""	"Private Pilot - Solo to Certificate"	"Prvt Pilot Solo-Cert"	"2"	"2"	"Not Applicable"	"2021"
"47387"	"60428"	"60428.2021"	"TC3"	"AERO"	"120"	""	"Instrument Rating"	"Instrument Rating"	"3"	"3"	"Not Applicable"	"2021"
"47388"	"60429"	"60429.2021"	"TC3"	"AERO"	"210"	""	"Commercial Pilot"	"Commercial Pilot"	"3"	"3"	"Not Applicable"	"2021"
"47389"	"60430"	"60430.2021"	"TC3"	"AERO"	"240"	""	"Certified Flight Instructor"	"Cert Flight Instruct"	"4"	"4"	"Not Applicable"	"2021"
"47390"	"357330"	"357330.2021"	"TC3"	"ALEX"	"231"	"This course is designed to provide internship opportunities aligned with unique student interests and community opportunities.  Placements will be selected to demonstrate and encourage adaptability, independent and collaborative problem-solving, comm"	"Project Based Learning"	"Proj-Based Learning"	"1"	"1"	"Not Applicable"	"2021"
"47391"	"357329"	"357329.2021"	"TC3"	"ALEX"	"232"	"I. Course Description:  This course is designed to provide internship opportunities aligned with unique student interests and community opportunities.  Placements will be selected to demonstrate and encourage adaptability, independent and collaborati"	"Project-Based Learning"	"Proj-Based Learning"	"2"	"2"	"Not Applicable"	"2021"
"47392"	"357331"	"357331.2021"	"TC3"	"ALEX"	"233"	"This course is designed to provide internship opportunities aligned with unique student interests and community opportunities.  Placements will be selected to demonstrate and encourage adaptability, independent and collaborative problem-solving, comm"	"Project-Based Learning"	"Proj-Based Learning"	"3"	"3"	"Not Applicable"	"2021"
"47393"	"318479"	"318479.2021"	"TC3"	"ALEX"	"249"	"Designed to respond to unique student and community interests, this course emphasizes activities and techniques that demonstrate and encourage adaptability, independent and collaborative problem-solving, communication, and digital fluency.  Students"	"Special Topics: Project-Based Learning"	"Proj. Based Learning"	"1"	"6"	"Not Applicable"	"2021"
"47394"	"144104"	"144104.2021"	"TC3"	"ANTH"	"149"	"A special topic(s) course, identified by discipline and a 149 or 249 course number, addresses experimental or short-lived subject matter not covered by the formally approved curriculum. A given topic(s) course may be offered up to three times. Credit"	"Anthropology-Spl Tpc"	"Anthropology-Spl Tpc"	"3"	"3"	"Not Applicable"	"2021"
"47395"	"60431"	"60431.2021"	"TC3"	"ANTH"	"201"	"Anthropology is a discipline that studies every phase of human existence, from the genesis of humans and their physical and cultural evolution, to the study of modern human life ways and sociocultural orientations across the globe. This course is des"	"Introduction to Anthropology"	"Intro to Anthropolgy"	"3"	"3"	"Social Sciences"	"2021"
"47396"	"60432"	"60432.2021"	"TC3"	"ANTH"	"202"	"Cultural Anthropology focuses on understanding current living human cultures, and the beliefs and practices that make social life possible. Special attention is given to cultural areas, including family and kinship structure, economic organization, g"	"Cultural Anthropology"	"Cultural Anthropolgy"	"3"	"3"	"Other World Civilizations, Social Sciences"	"2021"
"47397"	"60433"	"60433.2021"	"TC3"	"ANTH"	"202H"	"Cultural Anthropology focuses on understanding current living human cultures, and the beliefs and practices that make social life possible. Special attention is given to cultural areas, including family and kinship structure, economic organization, g"	"Cultural Anthropology - Honors"	"Cultral Anthropogy H"	"3"	"3"	"Not Applicable"	"2021"
"47398"	"216033"	"216033.2021"	"TC3"	"ANTH"	"220"	"Cross-listed as SOCI 220    This course prepares students for citizenship in a global society by focusing on the challenges of Globalization and development and its impact on micro cultures. How can local people¿s views and skills be brought to the c"	"Dev Anthropology in a Globalizing World"	"Dev Anth Glob World"	"3"	"3"	"Other World Civilizations"	"2021"
"47399"	"322617"	"322617.2021"	"TC3"	"ANTH"	"220H"	"This course prepares students for citizenship in a global society by focusing on the challenges of Globalization and development and its impact on micro cultures. How can local people¿s views and skills be brought to the center of development and how"	"Dev Anthropology in a Globalizing World"	"Dev Anth Glob World"	"3"	"3"	"Not Applicable"	"2021"
"47400"	"357336"	"357336.2021"	"TC3"	"ANTH"	"239"	"A selected topics course, identified by the discipline and a 239 course number, covers discipline-specific subject matter that is not contained in the regularly offered program/discipline-specific courses. Selected topics courses are part of the perm"	"Selected Topics in Anthropology"	"Selec Topics -Anthro"	"3"	"3"	"Not Applicable"	"2021"
"47401"	"359991"	"359991.2021"	"TC3"	"ANTH"	"249"	"A special topic(s) course, identified by discipline and a 249 course number, addresses experimental or short-lived subject matter not covered by the formally approved curriculum. A given topic(s) course may be offered up to three times. Credit may be"	"Special Topics - Anthropology"	"Spec Topic - ANTH"	"3"	"3"	"Not Applicable"	"2021"
"47402"	"60694"	"60694.2021"	"TC3"	"ANTH"	"260"	"Cross-listed as IED 260    Provides a full cultural immersion experience via a short term study abroad trip to a non-U.S. culture, such as Guatemala, Nicaragua, Ecuador, as well as other regions of the world. Students are guided to practice cultural"	"Culture Survey for Study Abroad"	"Culture Survey-SA"	"3"	"3"	"Other World Civilizations, Social Sciences"	"2021"
"47403"	"322597"	"322597.2021"	"TC3"	"ANTH"	"261"	"Cross-listed with IED 261.    Provides a full cultural immersion experience via a short term study abroad trip to a western culture, such as France, Italy or Spain. Students are guided to practice cultural relativism using a holistic approach thereby"	"Study Abroad Cultural Survey"	"Study Abroad"	"3"	"3"	"Not Applicable"	"2021"
"47404"	"60695"	"60695.2021"	"TC3"	"ANTH"	"274"	"This course provides a full immersion field experience in archaeology through a five week archaeological excavation. Students learn archaeological field techniques, including excavation, mapping, collection of special samples (pollen, C-14, flotation"	"Archaeology Field School - Cayuga Nation"	"Arch Field Sch-CayNt"	"6"	"6"	"Not Applicable"	"2021"
"47405"	"60696"	"60696.2021"	"TC3"	"ANTH"	"290"	"Cross-listed as HSTY 290 or PSYC 290 or SOCI 290    Provides students with an opportunity to draw on a variety of disciplines, perspectives and methods from the social sciences in application to a specific research problem of local and/or global impo"	"Social Science Capstone Course"	"Soc Sci Capstone Crs"	"3"	"3"	"Not Applicable"	"2021"
"47406"	"60697"	"60697.2021"	"TC3"	"ANTH"	"295"	"Cross-listed as ENVS295    Using a case-study approach, students learn about important current issues focusing on environmental sustainability. Live videoconferencing and web-based instruction allow students from several colleges in the United States"	"Global Seminar"	"Global Seminar"	"3"	"3"	"Social Sciences"	"2021"
"47407"	"60698"	"60698.2021"	"TC3"	"ANTH"	"295H"	"Cross-listed as ENVS 295H.    Using a case-study approach, students learn about important current issues focusing on environmental sustainability. Live videoconferencing and web-based instruction allow students from several colleges in the United Sta"	"Global Seminar Honors"	"Global Seminar-Honor"	"3"	"3"	"Social Sciences"	"2021"
"47408"	"281382"	"281382.2021"	"TC3"	"ARAB"	"101"	"This course is designed to develop beginning level speaking, listening, reading, and writing skills in Arabic. Cultural aspects of the Arabic-speaking world are covered. Speaking and understanding colloquial Arabic are emphasized. Substantial outside"	"Arabic I"	"Arabic I"	"3"	"3"	"Foreign Language"	"2021"
"47409"	"287558"	"287558.2021"	"TC3"	"ARAB"	"102"	"Building on the skills and knowledge of speaking, listening, reading, and writing mastered in ARAB 101, students continue to learn the essentials of Arabic grammar and vocabulary needed for effective communication in everyday situations. Speaking and"	"Arabic II"	"Arabic II"	"3"	"3"	"Foreign Language"	"2021"
"47410"	"216034"	"216034.2021"	"TC3"	"ARAB"	"149"	""	"Beginning Arabic I"	"Beginning Arabic I"	"3"	"3"	"Not Applicable"	"2021"
"47411"	"60699"	"60699.2021"	"TC3"	"ART"	"101"	"This course is a survey of representative works of art through Prehistory and Prehistoric Art in Europe to Early Medieval Art. The course is designed to develop critical thinking skills by promoting the ability to recognize, examine, interpret, inves"	"Art History: Ancient to Early Medieval"	"Art Hsty: Anc to Med"	"3"	"3"	"Western Civilization"	"2021"
"47412"	"60700"	"60700.2021"	"TC3"	"ART"	"102"	"Students are introduced to the development of the visual arts from the Renaissance to modern times. Discussion of styles and the function of art, along with the social and cultural contexts in which artists have worked are emphasized. Time is spent a"	"History and Appreciation of Art II"	"Hsty & App of Art II"	"3"	"3"	"The Arts"	"2021"
"47413"	"60701"	"60701.2021"	"TC3"	"ART"	"104"	"Students examine the creative works and evolving technologies that contributed to the development and popularization of photography and video. The use of these mediums in a social context, as an art form, as a method of communication, for advertising"	"History of Photography and Video"	"Hsty of Photo&Video"	"3"	"3"	"Not Applicable"	"2021"
"47414"	"60702"	"60702.2021"	"TC3"	"ART"	"106"	"This introductory-level photography course emphasizes photojournalism and the digital workflow. Students explore the full potential of the digital camera, and master a variety of techniques in Adobe Photoshop. Photojournalistic concerns, such as peop"	"Introduction to Photojournalism"	"Intro Photojournalsm"	"3"	"3"	"Not Applicable"	"2021"
"47415"	"60703"	"60703.2021"	"TC3"	"ART"	"109"	"This course serves as an introduction to the strategies, tools, and practices used in graphic design. Students learn to apply the design process, design thinking, and CRAP principles in order to create strong visual communication in a variety of grap"	"Introduction to Graphic Design"	"Intro Graphic Design"	"3"	"3"	"The Arts"	"2021"
"47416"	"60704"	"60704.2021"	"TC3"	"ART"	"110"	"Introduces the basic visual vocabulary of two-dimensional design and provides a variety of experiences addressing the creative application of design concepts. Projects, lectures, and critiques address the development of visual and aesthetic judgment."	"Design I"	"Design I"	"3"	"3"	"The Arts"	"2021"
"47417"	"60705"	"60705.2021"	"TC3"	"ART"	"111"	"Photography I provides students with the skills needed to accurately expose and develop film and make black and white prints in a traditional darkroom. Students utilize these skills to explore the creative and expressive applications of photography."	"Photography I"	"Photography I"	"3"	"3"	"The Arts"	"2021"
"47418"	"60706"	"60706.2021"	"TC3"	"ART"	"112"	"A continuation of the study of black and white photography as a technical craft and an expressive artistic medium. Topics include an overview of photographic history, the work of contemporary photographers, use of studio electronic flash, introductio"	"Photography II"	"Photography II"	"3"	"3"	"The Arts"	"2021"
"47419"	"60707"	"60707.2021"	"TC3"	"ART"	"114"	"Focuses on three-dimensional design and the application of advanced color theory. Topics include color organizational systems, visual and perceptual forces of color, creating and fabricating in three dimensions, creative problem solving, and developm"	"Design II"	"Design II"	"3"	"3"	"The Arts"	"2021"
"47420"	"60708"	"60708.2021"	"TC3"	"ART"	"115"	"Painting I provides an introduction to the methods and techniques of various painting media. Principles of color, form, and composition are studied with an emphasis on experimentation. ART 115 fulfills the SUNY General Education requirement in the Ar"	"Painting I"	"Painting I"	"3"	"3"	"The Arts"	"2021"
"47421"	"60709"	"60709.2021"	"TC3"	"ART"	"116"	"A continuation of Painting I, this course emphasizes the creative use of acrylics and oils. Composition, form, and texture will be taught, as well as exploration by students of various mixed media. Prerequisites: ART 115; prior completion or concurre"	"Painting II"	"Painting II"	"3"	"3"	"Not Applicable"	"2021"
"47422"	"60710"	"60710.2021"	"TC3"	"ART"	"117"	"This course introduces the basic visual vocabulary of the principles and elements of two-dimensional design and provides a variety of experiences addressing the creative application of design concepts utilizing digital media in place of traditional a"	"Design I for Electronic Media"	"Design I Elec Media"	"3"	"3"	"The Arts"	"2021"
"47423"	"60711"	"60711.2021"	"TC3"	"ART"	"120"	"Drawing I focuses on the process and function of drawing, and developing the powers of observation in art. This includes the study of how materials and technique affect drawing, the role of perception and observation in drawing, and the analysis of b"	"Drawing I"	"Drawing I"	"3"	"3"	"The Arts"	"2021"
"47424"	"60712"	"60712.2021"	"TC3"	"ART"	"122"	"By focusing on the human figure, Drawing II provides a continued study of how we see and analyze form. Students work from the live model, a traditional method of attaining basic mastery in drawing. Artistic drawing skills are developed through the ex"	"Drawing II"	"Drawing II"	"3"	"3"	"The Arts"	"2021"
"47425"	"354510"	"354510.2021"	"TC3"	"ART"	"123"	"This course serves as an introduction to art making and the 8 Studio Habits of Mind (develop craft, engage & persist, envision, express, observe, reflect, stretch & explore, understand art worlds). The course explores various artistic mediums, techni"	"Exploring Artistic Techniques"	"Exp Art Techniques"	"3"	"3"	"The Arts"	"2021"
"47426"	"354511"	"354511.2021"	"TC3"	"ART"	"124"	"This course serves as a study of design and visual communication, which can develop better problem-solving and communication skills. Topics include design thinking, which is a human-centered approach to problem solving, and the concept of show and te"	"Design Thinking & Visual Communication"	"Design Think/Vis Com"	"3"	"3"	"The Arts"	"2021"
"47427"	"60713"	"60713.2021"	"TC3"	"ART"	"130"	"This course provides an introduction to clay as a material that serves both expressive and functional purposes. Topics include various hand building techniques, demonstration of the potter's wheel, the glazing and firing of projects, and an overview"	"Ceramics"	"Ceramics"	"3"	"3"	"The Arts"	"2021"
"47428"	"349948"	"349948.2021"	"TC3"	"ART"	"131"	"This course follows Ceramics to provide a continued exploration of clay as a material that serves both expressive and functional purposes. Topics include advanced experimentation of various hand building techniques, innovative decorating materials, a"	"Ceramics II"	"Ceramics II"	"3"	"3"	"The Arts"	"2021"
"47429"	"181046"	"181046.2021"	"TC3"	"ART"	"149"	"A special topic(s) course, identified by discipline and a 149 course number, addresses experimental or short-lived subject matter not covered by the formally approved curriculum. A given topic(s) course may be offered up to three times. Credit may be"	"Special Topic - Art"	"Special Topic - Art"	"3"	"3"	"Not Applicable"	"2021"
"47430"	"60714"	"60714.2021"	"TC3"	"ART"	"180"	"Typography is a thorough study of type, its origins, and its practical and aesthetic functions within the context of effective visual communication. This course provides an examination of current trends and their effects on current design. Additional"	"Typography"	"Typography"	"3"	"3"	"The Arts"	"2021"
"47431"	"60715"	"60715.2021"	"TC3"	"ART"	"200"	"An overview of the theory and practice of illustration. Students create illustrations in a variety of media and formats. A history of illustration and current applications are discussed.  ART 200 fulfills the SUNY General Education requirement in the"	"Illustration"	"Illustration"	"3"	"3"	"The Arts"	"2021"
"47432"	"60716"	"60716.2021"	"TC3"	"ART"	"208"	""	"Women and Art"	"Women and Art"	"3"	"3"	"The Arts"	"2021"
"47433"	"60717"	"60717.2021"	"TC3"	"ART"	"211"	""	"Color Photography"	"Color Photography"	"3"	"3"	"Not Applicable"	"2021"
"47434"	"60718"	"60718.2021"	"TC3"	"ART"	"212"	"This course emphasizes the production of creative photography in a digital environment. Topics include use of a digital camera, image manipulation using Adobe Photoshop, scanning, and digital printing. The works of digital photographers are studied i"	"Digital Photography"	"Digital Photography"	"3"	"3"	"Not Applicable"	"2021"
"47435"	"60719"	"60719.2021"	"TC3"	"ART"	"213"	"This course explores the use of digital media to make compelling, low bandwidth interactive and time-based projects for distribution via electronic media. The preparation and optimization of digital images for dynamic media are thoroughly explored; b"	"Dynamic Media I"	"Dynamic Media I"	"3"	"3"	"Not Applicable"	"2021"
"47436"	"60720"	"60720.2021"	"TC3"	"ART"	"214"	"This course continues to develop skills acquired in Dynamic Media I and focuses on projects using Flash and DVD authoring. Students explore more advanced animation, sound and video topics in Flash, and investigate interface design in a DVD authoring"	"Dynamic Media II"	"Dynamic Media II"	"3"	"3"	"Not Applicable"	"2021"
"47437"	"175805"	"175805.2021"	"TC3"	"ART"	"222"	"This course builds on the basic digital photography skills introduced in ART 212 Digital Photography I. A series of creative visual assignments, presentations, and independent projects encourage students to develop aesthetic and conceptual thinking,"	"Advanced Digital Photography"	"Adv Digital Photo"	"3"	"3"	"Not Applicable"	"2021"
"47438"	"60721"	"60721.2021"	"TC3"	"ART"	"233"	"This course covers the principles and techniques of animation, including storyboarding, story development, and character creation. Students integrate discussions of animation with projects which include flip books, Claymation, stop motion, time lapse"	"Animation"	"Animation"	"3"	"3"	"Not Applicable"	"2021"
"47439"	"331530"	"331530.2021"	"TC3"	"ART"	"248"	"In this workshop, students explore artist and writer William S. Burroughs¿ ¿Third Mind¿ practices.    By working with two or more mediums, visual media and language, he created a new third state of mind and creative expression. Students explore how p"	"Word & Photographic Image"	"Word & Photo Image"	"3"	"3"	"Not Applicable"	"2021"
"47440"	"66685"	"66685.2021"	"TC3"	"ART"	"249"	"Specialized courses designed to respond to unique student interests or current events. Special topics course descriptions are given in each semester's course schedule.  Occasionally."	"Special Topic-Art"	"Special Topic-Art"	"1"	"4"	"Not Applicable"	"2021"
"47441"	"60723"	"60723.2021"	"TC3"	"ART"	"254"	"Students create a virtual interactive place. Emphasis is on the aesthetic consideration of creating 3D environments using images, sounds and interactivity, including streaming audio and video, and motion graphics. Prerequisites: ART 214; ENGL 100; RD"	"Advanced Media Design"	"Adv Media Design"	"3"	"3"	"Not Applicable"	"2021"
"47442"	"341172"	"341172.2021"	"TC3"	"ART"	"255"	"This course introduces studio lighting as a tool to produce unique, creative photographs in a studio environment and on-site locations. Assignments include lighting for portraiture, still life, and architectural spaces. Techniques studied include stu"	"Lighting Principles"	"Lighting Principles"	"3"	"3"	"Not Applicable"	"2021"
"47443"	"60724"	"60724.2021"	"TC3"	"ART"	"260"	"Topics include selecting works for a professional portfolio, options for non-website related portfolio systems, creating a portfolio website, developing an online presence, standard professional job search elements and documents, and tailoring portfo"	"Portfolio Preparation - Graphic Design"	"Portfolio Prp-GraphD"	"1"	"1"	"Not Applicable"	"2021"
"47444"	"60725"	"60725.2021"	"TC3"	"ART"	"261"	"ART 261 is intended for New Media program majors in their third semester of study. The course helps students understand and meet transfer requirements, and create a visual portfolio. Topics include researching transfer schools, selecting works for th"	"Portfolio Preparation - New Media"	"Portfolio Prp-NewMed"	"1"	"1"	"Not Applicable"	"2021"
"47445"	"60726"	"60726.2021"	"TC3"	"ART"	"262"	"ART 262 is intended for Photography program majors in their third semester of study. This course helps students understand and meet transfer requirements, and create a visual portfolio. Topics include researching transfer schools, selecting works for"	"Portfolio Preparation - Photography"	"Portfolio Prp-Photog"	"1"	"1"	"Not Applicable"	"2021"
"47446"	"60727"	"60727.2021"	"TC3"	"ART"	"270"	"I. Course Description:   This course introduces the essential elements required to proficiently create raster and vector graphics using professional computer software. The student learns to apply compositional, stylistic, and conceptual solutions to"	"Computer Graphics"	"Computer Graphics"	"3"	"3"	"The Arts"	"2021"
"47447"	"60728"	"60728.2021"	"TC3"	"ART"	"271"	"This course provides advanced instruction in computer graphics. Advanced color capabilities, typesetting, and object-oriented graphics are covered. Projects emphasize effective visual solutions through the use of electronic design. Additional course"	"Computer Graphics II"	"Computer Graphics II"	"3"	"3"	"The Arts"	"2021"
"47448"	"341173"	"341173.2021"	"TC3"	"ART"	"272"	"This course is an internship elective for selected students who have completed at least one year of the Graphic Design A.S. degree. Students are chosen based on their level of familiarity with and independence using professional vector, raster, and l"	"Art Internship"	"Art Internship"	"3"	"3"	"Not Applicable"	"2021"
"47449"	"60729"	"60729.2021"	"TC3"	"ART"	"276"	"This is an advanced course of study in ceramics developed through an agreement between the faculty member and the student. The student must demonstrate competence in ceramics by successfully completing the College's highest level course or by faculty"	"Independent Art Studio - Ceramics"	"Ind Art St-Ceramics"	"3"	"3"	"Not Applicable"	"2021"
"47450"	"60730"	"60730.2021"	"TC3"	"ART"	"278"	""	"Independent Art Studio - Computer Graphics"	"Ind Art S-Comp Graph"	"3"	"3"	"Not Applicable"	"2021"
"47451"	"60731"	"60731.2021"	"TC3"	"ART"	"280"	"An advanced course of study in design developed through an agreement between the faculty member and the student. The student must demonstrate competence in design by successful completion of the College's highest level course or by faculty assessment"	"Independent Art Studio - Design"	"Ind Art St-Design"	"3"	"3"	"Not Applicable"	"2021"
"47452"	"60732"	"60732.2021"	"TC3"	"ART"	"282"	"An advanced course of study in drawing developed through an agreement between the faculty member and the student. The student must demonstrate competence in drawing by successful completion of the College's highest level course or by faculty assessme"	"Independent Art Studio - Drawing"	"Ind Art St-Drawing"	"3"	"3"	"Not Applicable"	"2021"
"47453"	"60733"	"60733.2021"	"TC3"	"ART"	"284"	"An advanced course of study in graphic design developed through an agreement between the faculty member and the student. The student must demonstrate competence in graphic design by successful completion of the College's highest level course or by fa"	"Independent Art Studio - Graphic Design"	"Ind Art St-Grph Dsgn"	"3"	"3"	"Not Applicable"	"2021"
"47454"	"60734"	"60734.2021"	"TC3"	"ART"	"288"	"An advanced course of study in painting developed through an agreement between the faculty member and the student. The student must demonstrate competence in painting by successful completion of the College's highest level course or by faculty assess"	"Independent Art Studio - Painting"	"Ind Art St-Painting"	"3"	"3"	"Not Applicable"	"2021"
